Can I Use an Easement That Abuts to My Property	 real
Can You Get FMLA or Unemployment for Maternity	 employment
Workplace Discrimination Against Smokers	 employment
Can Your Employer Lay You Off if They Previously Suggested That Your Job Was Safe	 employment
Returning Company Property After Getting Laid Off	 employment
Asked By My Employer to Doctor Books	 employment
Getting Fired for Wanting to Do a Good Job	 employment
Can an Employer Renege on an Offer to Pay Unearned Vacation Pay	 employment
A Co-Worker Received a Larger Raise Than I Did	 employment
Can Your Job be Threatened During FMLA Leave and ADA Protections	 employment
Non-Disclosure of a Criminal History on a Job Application	 employment
Can You Be Fired for Failing a Drug Test if Your Employer Permits Medical Marijuana	 employment
Terminating an Employment Contract Before Your Start Date	 employment
Can Withdrawals from an IRA Disqualify You for Unemployment Benefits	 employment
Can You Cash Out Vacation Days When You Quit, and Get Paid in Full on Your Last Day	 employment
FMLA Harassment by Coworkers	 employment
Consequences of Illicit Drug Use While an Employment Discrimination Case	 employment
Employer is Taking Tips Given to Employees	 employment
Pay Deduction for a Vacation Overage	 employment
Employee is Not Allowed to Take Sick Time	 employment
Laid Off After Being Involved in an Accident Caused by Another Driver	 employment
Forced to quit because of disability	 employment
Religious Discrimination	 employment
Employee Quit, But Talks Bad About Company To Customers	 employment
Pregnant and fired	 employment
Felon Discrimination	 employment
DNA testing new hires	 employment
Conditional Job Offer Revoked	 employment
Overpaid After Termination - Consequences Of Keeping The Paycheck	 employment
Employer Withholding My Pay	 employment
Overtime Pay When Paid Different Rates Based on Duties	 employment
Terminated For Improperly Borrowing A Library Book	 employment
Employer Refusing to Pay Commission	 employment
Forced Resignation In An At-Will State, Georgia	 employment
Employer's Distinction Between Job Applicants' Engineering Degrees	 employment
Benefits for Contractors and Short-Term Contracted Talent	 employment
Pregnant and Wrongfully Terminated	 employment
Lost a Job Because of Depression	 employment
Salary and Overtime in Illinois	 employment
A Supervisor Is Throwing Away Paystubs - Is This Legal	 employment
Harassment At Work in Pennsylvania	 employment
Can An Employee Be Forced To Pay Premiums For A Defined Benefit Pension	 employment
Fired For Being Charged With A Crime	 employment
Sealed Record Affected Job	 employment
Got Verbal Offer But Still Waiting On Background Check	 employment
Security Clearance And Court Records	 employment
Accrued Vacation Time	 employment
My Boss Keep Asking Me for Favors	 employment
Am I Eligible For UI If I Don't Agree To A Work Reduction	 employment
Will I Get Hired?	 employment
Male Nurse Falsely Accused Of "Sexual Allegations" - Will A Polygraph Help Me?	 employment
Falsely Accused, Do I Have a Case?	 employment
Unemployement Appeal EDD - Unfair Termination Case	 employment
Rights After Job Denial	 employment
Sexual Harrasment at Work	 employment
Extended Disability Leave for Pregnancy and Childbirth	 employment
Changes	 employment
Fired, With No COBRA Notice, No EDD Rights Notice	 employment
Unemployment Benefits on Hold	 employment
Employee Fired for Not Taking Breaks	 employment
Told to Do Something Illegal and I Resigned - Now What?	 employment
Fired While Written Off on Doctors Note	 employment
Employer Not Paying Overtime	 employment
Fired Over Facebook Comment	 employment
Maybe Getting Rehired by Employer That Laid Me Off	 employment
Credible Record Searches	 employment
Legality of Holding a Restaurant Waiter Responsible for Non-Paying Guests	 employment
Discrimination Based on Age	 employment
Receiving UI While Raising Missionary Support	 employment
Temping and Unemployment Benefits	 employment
After SDI, I Was Denied UI Benefits Because "I Quit Without Medical Advice"	 employment
Had Phone Interview - How Long Until Checks Arrive	 employment
Will EDD Find Out if I Received a "1099" While Claiming Unemployment	 employment
Can a Previous Employer Contact Your Current Employer	 employment
Restrictions on Post-Employment Competition	 employment
Revoked Job Offers and Promissory Estoppel	 employment
Does a Workers Comp Disability Rating Entitle You to Protection Under ADA	 employment
Lied to EDD About a Class	 employment
Limits on Protected Speech Against Accusations of Harassment	 employment
Exclusively Denied Company Health Insurance Coverage	 employment
Expunged Record Still Showing in Background Check	 employment
Does the EEOC Require the Employer to Treat Accuser and the Accused Equally	 employment
Just Received a Letter Stating My Former Employer Has Appealed My Benefits	 employment
Overpayment Notice, What Can I Do	 employment
Gave Up Job Due to a Car Accident, then Denied Unemployment	 employment
Tattoo Policy of Olive Garden Restaurant	 employment
Are Small Business Exempt from Paying Overtime	 employment
Discrimination, EEOC and Criminal Records	 employment
Short Term Work Related Stress Leave	 employment
Made to Take a Day Off	 employment
Prohibited from Pumping or Breastfeeding at Work, $50 Penalty Emposed by Employer	 employment
Should You Resign with a Possible Termination in Progress	 employment
Employer Not Granting Time Off for an Appointment	 employment
Denial of Unemployment Due to Unavailability	 employment
Medical Testing Required for Employer Sponsored Medical Plan	 employment
Can I Become a Cop with Misdemeanors	 employment
Singled Out for a Hair Grooming Standard	 employment
Job Offered and Accepted, Offer on Hold Due to Discrepancy in Degree	 employment
to Know if I Have Any Legal Recourse with Harassment from My Boss	 employment
Is Stress-Leave for a Family Sickness with Pay Possible	 employment
Threat of Losing Children Forcing Me to Quit, Can I Collect Unemployment	 employment
How to Pay My Staff	 employment
Quit Job to Commit Suicide	 employment
Asked for Reasonable Accomodation; Denied, then Fired Within a Week	 employment
Made a Slight Lie on My Resume, How Verifiable is It on Background Check	 employment
Is a Position and Schedule Change Just Cause to Quit	 employment
Boss Demanded I Cash Check and Give Portion to Another Employee	 employment
Wrongful Termination in a UAW Shop	 employment
Resignation and Effect on Pay and Repaying Relocation	 employment
By "Reference" Do Hiring Companies Mean Also Credit/Criminal Checks	 employment
Singled Out and Fired for Violation of Company Policy	 employment
Forced to Resign Without Any Wrongdoing on My Part	 employment
Racial Promotion Discrimination	 employment
Can My Former Employer Send Out a Company Wide Email About My Suspension	 employment
Threatened With Termination if I Refuse Overtime Assigned Without Notice	 employment
Resignation After Filing a Grievance, Can I Demand Pay for Entire Notice Period	 employment
Disciplined for Conversation Outside of Work	 employment
24 Hour On-Call - What Compensation Do I Get	 employment
My Former Manager is Telling My Former Co-Workers That I Am Mentally Ill	 employment
EDD Granted Unemployment Benefits, Now Employer is Appealing	 employment
Maximum Total Hours Allowed to Work in One Shift	 employment
Co-Worker is Telling Lies About Me at Work	 employment
Harassment After Disability Accommodation	 employment
Fired from At-Will Employment	 employment
"Able and Available for Work" Problem	 employment
Supervisor is Acting Disrespectfully Toward an Employee	 employment
Is it Legal to Fire an Employee for Reporting a Theft at Work	 employment
FLSA and Right to Get Paid for Hours Worked, Overtime	 employment
Bullied by a Supervisor Who Wants Me to Quit	 employment
Unemployment Cut Off Due to Voluntary Quit	 employment
Vacation Pay Overage	 employment
Can an Employer Ask You About Your Attitude and Reputation	 employment
Accumulated Paid Time Off (PTO)	 employment
Can You Avoid Repaying Relocation Expenses if You Quit Due to Your Work Environment	 employment
Can Someone Be Fired or Denied a Transfer Without Proof That a Warning Was Given	 employment
Can Your Employer Make a Wage Deduction if You're Late for Work	 employment
Using a Fake Resume to Get a Government Job	 employment
Told I Was Being Laid Off, then Asked to Submit a Letter of Resignation	 employment
Boss Lied to Unemployment	 employment
Temporary Work and Not Waiting 3 Business Days	 employment
Shoplifting Crime as a Minor Appears in the National Theft Database	 employment
Compensation for a Scheduled Day Off After Resignation	 employment
Gave Two Week Notice, Fired 1 Day Later	 employment
Retaliation and Ethnic Harrasment	 employment
Denied Employment Due to a False Positive Drug Test	 employment
Will a Conviction Show Up in a FDIC Background Check if It's Not in My FBI Record	 employment
Refusal of Intepreter for Disciplinary Proceedings	 employment
Being Bullied on the Job	 employment
Can Independent Contractors Get Unemployment Benefits	 employment
Will an Expired Civil Peace Order Prevent Me from Becoming a Police Officer	 employment
Can You Be Fired for Working for Competing Business as the Same Time	 employment
Employer Claims I Owe Rent for Work-Provided Accommodation	 employment
Fired for Inappropriate Conduct After Flirting With an Underage Customer	 employment
Why I Am I Not Getting Paid Per Diem	 employment
Minimum Salary Requirements	 employment
Qualifying for  Unemployment After Voluntarily Quitting	 employment
Will You Get Unemployment if Your Employer Doesn't Show Up for the Appeal	 employment
What Information Can H.R. Share With Your Supervisor	 employment
False Information on Background Check Report	 employment
Overpayment of Unemployment Benefits in New York	 employment
Can I Get Fired for Complaining About My Supervisor's Behavior	 employment
Getting Fired for Attendance While on FMLA	 employment
Can You Claim Religious Discrimination if Fired for Poor Customer Service	 employment
Employee with Performance Issues Accuses Supervisor of Racism and Homophobia	 employment
Pay Still Owed After Termination	 employment
Employer Not Doing What Workmed Doctor Recommended	 employment
Demoted for Reporting Manager's Misconduct	 employment
New Testing Requirement Imposed for Return to Prior Position from FMLA	 employment
Can an Employer Deduct an Overpayment From Your Wages	 employment
Denied Unenemployment After Quitting to Take New Job That Only Lasted 6 Months	 employment
Denied Unemployment Due to Employer's False Statements	 employment
Selective Enforcement of a Dress Code Against a Female Employee	 employment
Will an Employer Figure Out that a Job Applicant is a Former Employee	 employment
Reasonable Pregnancy Accomodations at Work	 employment
H.R. is Friends with the CEO	 employment
Can Your Supervisor Require That You Disclose an Anxiety Disorder to HR	 employment
Can You Refuse to Let Some of Your Co-Workers Participate in an Office Gambling Pool	 employment
Can an Employee Be Forced to Use Paid Time Off when He Doesn't Turn in a Timesheet	 employment
Resignation and Relocation Repayment Agreement in Florida	 employment
Teacher's Loss of Position Within a School	 employment
Will Submitting a Letter of Resignation with a Future Date Protect Employee Benefits	 employment
Should a Former Employer Report Résumé Fraud to a New Employer	 employment
Negligent Training and Supervision Resulted in Chemical Injuries to a Worker	 employment
Can a Non-Exempt Employee Be Assigned to Perform Exempt Employee Duties	 employment
Contract to Repay Relocation Costs	 employment
Can You Collect Unemployment Insurance After a Disability Due to Loss of Part Time	 employment
Can an Employer Give Some Employees Breaks While Denying Breaks to Other Workers	 employment
How to Recover Money from a Flexible Spending Account After Being Fired	 employment
Can You Get Unemployment After Quitting a Job Where You Were Mistreated	 employment
Qualifying for Unemployment With a Past History of Disability Leave	 employment
Fired After Complaining About Being Misclassified as an Exempt Employee	 employment
Employer is Two Months Late With My Last Paycheck After Resignation	 employment
Offer of Settlement Before EEOC Mediation	 employment
Disclosure of Mental Health History When Seeking Police Employment	 employment
Can You File a Retroactive Unemployment Claim	 employment
Can an Employer Require a Letter of Resignation After Firing You	 employment
Can You Get Unemployment if Terminated After an On-the-Job Injury	 employment
Can You Void a Separation Agreement That Was Signed Under Duress	 employment
What Will an Employer Find in an Employment Background Check	 employment
Will Future Employers Learn That You Stole from a Former Employer	 employment
Terminated Without Good Reason, but Employer Not Disputing Unemployment	 employment
Salaried Employees Sometimes Paid Every Three Weeks, No Adjustment in Pay	 employment
Employer Failing to Pay Me for Lessons Taught	 employment
What To Do At an Adjudicator Interview	 employment
Furthering Education While Working	 employment
Manager Made Threat Prior to Laying Me Off	 employment
Job Abandonment	 employment
Terminated for Being Late-Exempt Status	 employment
Employer Docking Pay As Punishment	 employment
How Long Until You Get Benefits After Winning an Unemployment Hearing	 employment
Employees Required to Purchase Group Long Term Disability Insurance	 employment
Job Offer Rescinded After Discrepancy in Salary History	 employment
Job Eliminated and Got Unfair Treatment As Compared to Others	 employment
Making Warehouse Employees Work Even Though Company is Shut Down Due to Bad Weather	 employment
Employees Required to Log Billable Hours	 employment
Disqualifications for the Medical Field	 employment
Accused of Shoplifting at Walmart	 criminal
Unlawful use of stolen motor vehicle	 criminal
Shoplifting from retail store	 criminal
College student, first time offender for shoplifting in WA.	 criminal
Co-Worker Giving Out Drugs Like Candy	 criminal
Forgetting to Remove Clothes in the Changing Room	 criminal
Burglary Incident in Texas	 criminal
False police report	 criminal
Possesion of paraphernalia, Ca H&S Code 11364, by a minor	 criminal
Got Caught Shoplifting at Kohls	 criminal
To Be or Not To Be	 criminal
Question from a scared stupid girl who made a big mistake	 criminal
Email and phone sex with a minor	 criminal
Shoplifting at Kohls.  Why do some get the cops called on them and some not?	 criminal
Accused of Stealing from School Library	 criminal
Stole Money From Circuit City	 criminal
Juvenile Retail Fraud in Michigan	 criminal
Charges For Shoplifting	 criminal
Theft Of A Display Item	 criminal
Caught Shoplifting in Walmart	 criminal
Accused of Shoplifting Lingerie	 criminal
Why Won't They Drop The Charges?	 criminal
Marijuana Paraphernalia Possession in California	 criminal
Is There Any Legal Trouble For A 30 Year Old Dating An 18 Year Old?	 criminal
Accused Of Shoplifting When The Merchandise Never Left The Store	 criminal
Scavenging From Dumpsters	 criminal
Shoplifting On A Military Base	 criminal
Local Politics Question	 criminal
Domestic Violence And Crazy Girlfriend In Florida	 criminal
Caught Shoplifting In Mervyns	 criminal
Twelve Year Old Caught Shoplifting	 criminal
Advice About Bullying	 criminal
Shoplifting Class 6 Felony	 criminal
Class H Felony, Embezzlement	 criminal
Explain How I Am At Fault	 criminal
Juvenile Employee Caught Shoplifting	 criminal
Is it Illegal to Chat with Minor, with No Physical Contact, No Nude Images?	 criminal
Summary Offense Retail Theft	 criminal
Is This Statutory Rape	 criminal
Falsely Accused - Any Recourse?	 criminal
"Stole" a $2 Drink	 criminal
Husband Accused of Molestation	 criminal
Accidental Shoplifting Case in New Hampshire	 criminal
Going to Court for Shoplifting - What Should I Do	 criminal
Do Store Detectives Have to Read You Your Rights	 criminal
Sex with a Minor	 criminal
Caught Stealing at Work	 criminal
Re-Opening Rape Charges	 criminal
Purchasing Alcohol for a Minor in Michigan	 criminal
Is it Burglary to Use Somebody Else's Pass	 criminal
Are Webcam Broadcasts Considered Obscenity	 criminal
Is It Okay to Return the Same Items to a Different Store	 criminal
Juvenile Arrest Question	 criminal
Made a Big Mistake - Shoplifting	 criminal
Just found out my daughter was raped at age 8	 criminal
Distributing company information	 criminal
What Happens To You After You Are Caught Shoplifting	 criminal
Retail Fraud in Michigan (Sears)	 criminal
Felony retail fraud in Michigan	 criminal
Shooting Someone In Your Home	 criminal
Juvenile petty theft - parent in need of help	 criminal
How do you know if you will be prosecuted	 criminal
Child's Accusation Against Step-Father	 criminal
Video as evidence	 criminal
Caught Stealing Undergarments	 criminal
My shoplifting story from start to end, in New Jersey	 criminal
Busted at Kmart	 criminal
Finding money in a store	 criminal
Stopped With A Friend Who Was Caught Shoplifting	 criminal
Felony Petty Theft in California	 criminal
Shoplifting from a Department Store in New Jersey	 criminal
Help With A Shoplifting Incident	 criminal
Sentencing Options And Immigration Status	 criminal
Questions About Shoplifting Charges	 criminal
Stealing a Store Tester	 criminal
Embezzlement From An Employer	 criminal
Caught Shoplifting at Target in Florida	 criminal
Store Sent Out Its Own Fine Against A Thief	 criminal
Minor First Offense At Macy's	 criminal
Aggravated Kidnapping	 criminal
Is This Refund Fraud?	 criminal
$108 Theft From A Retail Store, What Will Happen	 criminal
Retail Fraud In Michigan, Got Caught In Macy's	 criminal
Shoplifting Misunderstanding	 criminal
Minor Molesting Another Minor	 criminal
Adult Son Got A Minor Pregnant	 criminal
Internet Harassment	 criminal
Are Search Terms and Results Porn?	 criminal
First Time Offense for Shoplifting - Colorado	 criminal
Live Ammo Brought into Airport	 criminal
Got Away with Shoplifting... For Now	 criminal
Accessory to Petty Theft or Shoplifting	 criminal
Religious Beliefs and Denial of Medical Care	 criminal
Felony Marijuana Charge	 criminal
Can Boyfriend Be Sent to Jail for Phone Call	 criminal
Attending a Nuisance Party, Underage Consumption	 criminal
Petty Theft Charge in Virginia	 criminal
Shoplifting and Civil Demand	 criminal
Open Retail Fraud Case / Moving for College	 criminal
False Claim of Tresspassing	 criminal
What is Life with a Lifetime Registered Sex Offender	 criminal
Juvenile Shoplifter	 criminal
Shoplifting Issues: Intent, "Point of Sale" and Trial	 criminal
Shoplifted $50,000	 criminal
Sex with Girlfriend's Minor Daughter	 criminal
Can I File Trespassing and Harassment Charges	 criminal
Penalty for Sex Act with 16-Year-Old	 criminal
Consequences of Tennessee Shoplifting - $500 +	 criminal
Accused of Shoplifting at Meijer, Civil Demand, No Police	 criminal
Caught Removing Merchandise from the Package	 criminal
Paid Civil Demand in Full - Worried About Additional Charges	 criminal
Shoplifting Escape	 criminal
Shoplifting at Wal-Mart	 criminal
Molestation by a Stepparent	 criminal
Is Profanity an Exception to Free Speech	 criminal
Retail Theft Pennsylvania	 criminal
Embezzlement at a Retail Store	 criminal
Caught Growing Six Marijuana Plants, Outdoors	 criminal
Possible Return Fraud	 criminal
Length of Time for Ban from Costco	 criminal
Shoplifting Without Police Arrest	 criminal
Accused of Shoplifting, No Papers Signed or Criminal Case, Just Got a Civil Demand	 criminal
Internal Theft with Retail Corp	 criminal
Minor Accused of Terroristic Threats	 criminal
Injured After Looking for a Fight	 criminal
Age of Consent Exemption	 criminal
First Offense Shoplifing in New Jersey	 criminal
Caught Issuing Fraudulent Discounts	 criminal
Fined for Entering Through a Fire Entrance	 criminal
Keying a Car	 criminal
Raped 30 Years Ago	 criminal
Going to Court After Accidental Shoplifting	 criminal
Second Offense MIP	 criminal
Interfering With the Police, PC 148(a)(1)	 criminal
Buyer Claims Seller Shipped Rocks Instead of Purchased Item	 criminal
Spanking as Child Molestation	 criminal
Cashier Stole Money from Cash Register	 criminal
Participation in Return Fraud	 criminal
Minor Caught Shoplifting and Release of Minor to a Nonparent	 criminal
Civil Demand Sent to Parent After Daughter Was Caught Shoplifting	 criminal
Accused of Stealing Gym Bag	 criminal
If a Minor Attacks an Adult, Can the Adult Fight Back	 criminal
Sex Talk With a Minor	 criminal
How to Recant a Police Report for Domestic Violence	 criminal
How to Drop Felony Theft Charges Against My Fiancée	 criminal
Being Under the Influence of Prescription Medication in Public	 criminal
Items Stolen from Student's Luggage	 criminal
What is the Definition of Trespassing in Illinois	 criminal
Charged for Driving While Suspended Based Solely on Officer's Testimony	 criminal
Court Summons Sent Even Though the Police Weren't Called to the Store	 criminal
Is Kissing Somebody Adultery	 criminal
Contacting the Family of Someone You Have a No-Contact Order Against	 criminal
Can You Date a Minor After You Turn 18	 criminal
Will Getting Caught Stealing Affect Voc Rehab Benefits	 criminal
Shoplifting at Macy's in Massachusetts	 criminal
Sexually Assaulting a Thirteen Year Old Child	 criminal
Charged With Aggravated Assault for Self-Defense	 criminal
Attempted Murder Charge for an Assault With a Deadly Weapon	 criminal
Criminal Investigation Over Using Somebody's Name in an April Fool's Prank	 criminal
Ordered to Stay Away from a Business	 criminal
Criminal Trespass, First Degree, at a Construction Site	 criminal
Code Enforcement Inspector Didn't Disclose She Was Recording Our Conversation	 criminal
Accessing Somebody Else's Emails Without Permission	 criminal
Assault and Battery with a Deadly Weapon, Charges and Penalties	 criminal
Is it Theft to Stop Payment on a Check After Services are Received	 criminal
Charges for Making Threats on Facebook	 criminal
Former Employee Suspected of Theft	 criminal
Fatal Accident With a Pedestrian	 criminal
Trying to Get Your Ex- Fired for Having an Affair	 criminal
School Teacher Dating a Minor	 criminal
Police Wouldn't Charge a Stepparent With Assaulting an Adult Child	 criminal
Class B Misdemeanor Charge for Shoplifting	 criminal
Shoplifting a Self-Serve Beverage	 criminal
Charged With Shoplifting After Forgetting to Purchase Merchandise	 criminal
What is the Effect of Shoplifting on a College Application	 criminal
Can You Get Charged if You're Shopping With Friends Who Shoplift	 criminal
What is the Legal Definition of Sexual Assault	 criminal
What Should You Expect After Getting Caught for a First Offense Shoplifting	 criminal
MIP/MIC Non-Traffic Charge	 criminal
Threatened After Contacting a Teenage Girlfriend Against Her Father's Wishes	 criminal
Retail Theft over $3000.00 - 3rd Degree Felony	 criminal
Retail fraud laws	 criminal
Punishment for pulling hair in California	 criminal
Shoplifting incident at Walmart	 criminal
Multiple felonies around a weapon that was never found	 criminal
Domestic Violence, Drug Charges, and Kidnapping	 criminal
Investigation of Large Number of Cash Returns	 criminal
To my fellow lifters	 criminal
Shoplifting and Application to Medical School	 criminal
Theft of Goods in Louisiana	 criminal
Check Fraud and Forgery	 criminal
Marijuana possession in Maryland	 criminal
Caught Shoplifting Three Times In Three Weeks	 criminal
Commercial Burglary Charges and Plea Bargains	 criminal
My experience so far with misdemeaner charges pending against me in California	 criminal
Shoplifting charge in NJ and Citizenship	 criminal
Civil Demand Letter from a Law Firm	 criminal
16 and 22 yr old in New York State	 criminal
Florida sexual offense	 criminal
It's always someone else's child - not - CA	 criminal
Copies of Forms Signed with Loss  Prevention Staff	 criminal
Help With Refund Fraud in Georgia	 criminal
First Offense, Third Degree Shoplifting Charge	 criminal
Record From Shoplifting At Walmart	 criminal
Terribly Confused About A Shoplifting Arrest	 criminal
Shoplifting at Kohls in New Jersey	 criminal
Theft Under $50 in Houston, Texas	 criminal
Getting Legal Help For Shoplifting Charges	 criminal
Caught Shoplifting in Sears	 criminal
Returning An Item At A Different Store	 criminal
Firearm Possession After an A&B Conviction	 criminal
California Parent Loses Custody of her Son, May Also Lose Her Job	 criminal
Wrongfully Stopped for Shoplifting	 criminal
Help With Assault And Battery	 criminal
Keeping My Record Clean After Shoplifting	 criminal
Domestic Violence Mess In Washington State	 criminal
Why Police Act On Domestic Violence	 criminal
Petty Theft Caught On Tape	 criminal
Time Theft At Work	 criminal
Illegal Material on a Shooting Range	 criminal
Shoplifting Charges And Job Applications	 criminal
Shoplifting At Macy's In California	 criminal
Marijuana Possession In Ohio - Minor Misdemeanor Citation	 criminal
Violent Sex Offender	 criminal
Third Count Of Shoplifting	 criminal
My Son Wasn't Caught by the Law - Only by His Mom - Now What?	 criminal
Unlawful Detention Dismissal	 criminal
Assault and Battery with Bodily Injury	 criminal
Is This Felony Battery if Charged?	 criminal
Accused of Shoplifting Without Mental Intent in California	 criminal
Advice for Domestic Violence Trial	 criminal
Personal Loans via Online Poker Sites	 criminal
Caught with Lip Balm at Shaws	 criminal
Standing on a Street with a Sign	 criminal
Fraud in an International Car Sale	 criminal
2nd Offense Possession of Narcotics - Likely Sentence	 criminal
Selling Alcohol to a Minor in Ohio at a Convience Store	 criminal
Charged with Criminal Damage	 criminal
Might Be in Trouble for Shoplifting	 criminal
Can the Police Refuse to Let You Press Assault Charges	 criminal
Wrongfully Ticketed for Solicitation of a Prostitute	 criminal
Shoplifting Charge at JC Penny	 criminal
Penalty for Possession and Selling a Controlled Substance	 criminal
Shoplifting from M&M World in Times Square	 criminal
First Time Offense, Petty Theft, Kohl's, New Jersey	 criminal
Wardrobing or "Retail-Renting"	 criminal
My Friends Used Me As a Scapegoat	 criminal
19 Years Old, Caught Shoplifting Out of State, First-Offense, Police Not Called	 criminal
Cited for Fare Evasion	 criminal
Threats Online from Crazy YouTube User	 criminal
Expulsion from School for Assault	 criminal
Caught Shoplifting, Banned from Store, Reported to a Database	 criminal
Neighbors are Spying on Me	 criminal
Employer Recording Conversations at Home Using Laptop Computer Microphone	 criminal
Wal-Mart Civil Demand Letter	 criminal
Can I Still Date My Girlfriend Who is 15 While I Am 18	 criminal
Penalty for Being an Accomplice	 criminal
My Father Took Pictures of Me in the Shower - What Can I Do	 criminal
Caught Shoplifting at Macy's but Did Not Get Arrested, Told I Would Be Going to Court	 criminal
Victim of Domestic Violence Doesn't Want to Testify Against Husband	 criminal
Chances of Dropped Charges	 criminal
Two Charges of Fraud While Returning Birthday Presents	 criminal
Is It Legal for a 16 Year Old Boy to Date a 12-Year-Old Child in Georgia	 criminal
Child Porn Possession	 criminal
Can Loss Prevention Follow You After You Leave the Store	 criminal
Steroid Possession Charges	 criminal
Strict Liability and Fraud as Defenses to Statutory Rape	 criminal
Adult Child Using DV Charge to Extort Money from Parent	 criminal
Caught Stealing, Police Not Called	 criminal
Public Intoxication Charge Against a 20-Year-Old	 criminal
Accused of Fraud in Obtaining ESC (Unemployment) Benefits	 criminal
Are There Any Defenses to MIP	 criminal
Girlfriend's Parents Are Trying to Press Wrongful Charges	 criminal
How to Drop Domestic Violence Charges	 criminal
Distributing a Safe Sex Video to Minors	 criminal
Assault After Objecting to Being Cut Off	 criminal
Charged With Shoplifting for Using a Product and Returning it to the Shelf	 criminal
Persistent Domestic Violence Felony Charges	 criminal
My Car, Titled in a Relative's Name, was Reported Stolen	 criminal
Disorderly Conduct Charge for Making an Obscene Gesture	 criminal
Do I Have to Pay a Civil Demand Notice	 criminal
What Constitutes Rape of a Child	 criminal
Why Didn't the Store Stop a Shoplifter From Leaving	 criminal
Caught in a Sex Act in a Parking Lot	 criminal
Police Threaten Eavesdropping Charges Unless Evidence is Destroyed	 criminal
Keying a Car in a Parking Lot	 criminal
Burglary of a Vehicle and DNA Evidence	 criminal
Sending Harassing Text Messages from a Spoofed Number	 criminal
Will You Get Charged With Theft After Being Allowed to Leave the Store	 criminal
Animal Trespass by Horses Causing Property Damage	 criminal
I Don't Want to Testify Against My Husband	 criminal
Is a Driver Automatically Criminally Responsible for Drugs or Paraphernalia in a Car	 criminal
Misrepresenting Your Living Arrangement to Get WIC Benefits	 criminal
Defending Yourself Against an Imminent Physical Attack	 criminal
How to Respond to Identity Theft	 criminal
Caught Shoplifting an Item Worth Less Than $100	 criminal
Got Ripped Off on Craigslist for a Computer	 criminal
What Will Happen if You Run Away After Shoplifting	 criminal
Fraudulent Rebate Claims by a Salesperson	 criminal
Making a Charge on Somebody Else's Credit Card With Permission	 criminal
How Do You Know If A Store Called The Police?	 criminal
Surveillance cameras in fitting rooms?	 criminal
Innocenct of shoplifting but bullied to confess	 criminal
My story - start to (almost) finish	 criminal
Entrapment Setup	 criminal
Domestic Violence / Assault and Battery	 criminal
Civil demand in Michigan	 criminal
Not illegal to make store returns	 criminal
Misdemeanor Raised to a Felony	 criminal
Shoplifting At A Cart In The Mall	 criminal
Question About A Plea Bargain	 criminal
Am I A Criminal?	 criminal
Confronted After Giving Cashier My Email Address	 criminal
Statute of Limitations for Sex Crimes in Florida	 criminal
I Accidently Sold Alcohol to a Minor	 criminal
Sex Offenses on Omegle and Chatroulette	 criminal
Acquittal for Battery	 criminal
Petty Theft, PC 484, in Sacramento, California	 criminal
27 Year Old Man with 16 Year Old Girl	 criminal
Willful, Deliberate, Premeditated Murder	 criminal
Can I Buy and Carry a Firearm After My D.V. Case	 criminal
Simple Battery and ICE Hold	 criminal
Accused of Shoplifting and Banned From Store	 criminal
Assault with Injury	 criminal
Sex Predator Sting	 criminal
Can Charges of Theft Be Dropped the Day After the Incident Happened	 criminal
Arrested for Shoplifting in Washington	 criminal
How to Get a Police Report for a Case Where Charges Haven't Been Filed	 criminal
First Offense Shoplifting at Age 19	 criminal
Am I an Accessory to Shoplifting	 criminal
Aggravated Assault Against a Police Officer	 criminal
Can I Use Force Against a Parent Trying to Collect Her Child	 criminal
My Husband is Charged With Domestic Violence but I Was Not Hurt	 criminal
Possibility of Prosecution for Changing Price Tags	 criminal
Domestic Battery 3rd Degree Charge	 criminal
Caught Stealing, Store Only Has My License Plate Number	 criminal
Given Pink Summons for Fare Evasion and Trespassing at PATH Station	 criminal
In a Park After Dark	 criminal
Citation for Stealing a $7.50 Item from Kmart, Summoned to Court	 criminal
Wrongfully Detained for Shoplifting, but Admitted to Sheriff's	 criminal
Civil Demand Sent to Parent for Child's Theft	 criminal
First Offense Petty Theft	 criminal
Bought a Stolen Car and Resold It	 criminal
Arrested for Obstruction	 criminal
Consequences of Getting Caught Stealing at Walmart	 criminal
Teenager Caught With Drugs and Cigarettes at School	 criminal
Can a Business Install Video Cameras That Show the Inside of Bathroom Stalls	 criminal
Criminal Charge for Sleeping in Car	 criminal
Caught With Baggies and Trace Amounts of Marijuana	 criminal
Minor in Possession of a False ID, B&P 25661	 criminal
Mechanic Charged With Theft After Selling a Customer's Vehicle	 criminal
Internet Threat	 criminal
Denying Knowledge of Father's Identity to Obtain Public Assistance	 criminal
Caught Shoplifting a Cell Phone Charger	 criminal
Will Police Go Out of State for Extortion	 criminal
Domestic Violence Charge Resulting from a Misunderstanding	 criminal
Is it a Defense to Sexting a Minor if They Lied About Their Age	 criminal
Can Bartenders Legally Confiscate Fake ID's	 criminal
Is Suicide Illegal	 criminal
The Police Won't Seek Charges on a Domestic Violence Report Against My Ex-	 criminal
Violating a Trespass Ban After Shoplifting	 criminal
Domestic Violence and Persistent Offender Charges	 criminal
Switching a Price Tag	 criminal
Should I Return Shoplifted Items	 criminal
Can a Pawn Shop Have Someone Arrested	 criminal
